author,location,rating,reviewTitle,reviewText,reviewDate,checkIn,checkOut,stayDuration,travelerType,roomInfo,hotelResponse,hotelScores,helpfulVotes,language
Petr,Czech Republic,9,,"Понравилось: Krásný, útulný menší apartmán přímo v centru Mcchety. Blízko místní památky i restaurace. Skvělá snídaně. Milá majitelka.",2024-08-04T10:02:34.000Z,2024-07-17,2024-07-18,1 ночей,Family,Superior Apartment,მადლობა🙏❤️,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,cs
Mikhail,Cyprus,9,,"Понравилось: Маленький отель - может быть, с одним номером, максимум - с двумя - тремя. Расположение просто идеальное - прямо за крепостной ценой монастыря Светицховели. Своей парковки у отеля нет, но мы без проблем припарковались на улице. Радушный хозяин. Завтрак - за дополнительную плату, но очень скромную, причем еды было очень много.",2024-07-12T21:34:13.000Z,2024-06-25,2024-06-26,1 ночей,Family,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Ewelina,Poland,10,,"Понравилось: Świetna lokalizacja w samym centrum miasta. Apartament czysty, zadbany, w pełni wyposażony. Wszystko jak na zdjęciach. Polecam",2024-07-12T17:21:14.000Z,2024-07-11,2024-07-12,1 ночей,Family,Superior Apartment,მადლობა თქვენ🫰🫰❤️❤️🙏🙏,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,pl
Volker,Germany,10,Nette Unterkunft mitten in der Altstadt,"Понравилось: Zentrale Lage
Sauberkeit
Freundlichkeit

Не понравилось: Es ist nicht ganz einfach, die Unterkunft mit dem Auto zu erreichen, da die Zufahrt in die Altstadt eingeschränkt ist. Das sollte man erklären. 
Einmal angekommen kann man vor der Tür parken.",2024-06-15T17:20:04.000Z,2024-06-14,2024-06-15,1 ночей,Couple,Superior Apartment,მადლობა თქვენ❤️❤️,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,de
Артём,Armenia,10,,"Понравилось: Ехали семьёй проездом из Армении в Россию, решили остановиться на один день в Грузии. Выбрали Мцхету и не пожалели. Уникальное место, где можно насладиться и природой, и историческими достопримечательностям, и вкусной едой, и истинным кавказским гостеприимством. Большая благодарность хозяевам дома, который находится в самом центре исторической достопримечательности Мцхеты. В номере всё очень чисто, уютно и продумано до мелочей. Всем рекомендуем это место, этот дом и этих гостеприимных хозяев",2024-06-15T06:08:59.000Z,2024-06-08,2024-06-09,1 ночей,Family,Superior Apartment,"მადლობა თქვენ.საუკეთესო ადამიანები ხართ,ყოველთვის ვისურვებდი თქვენისთანა სტუმრებს.მოწესრიგებულები,თბილები და საუკეთესო პიროვნებები ხარ.100 ქულა ჩემგან🙏🙏🙏❤️❤️",Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Иванов,Russia,10,,"Понравилось: Хорошо, чисто. Хорошая, позитивная хозяйка. Оставила вино в подарок. Так же было кофе и чай. Рядом церковь и торговля сувенирами.

Не понравилось: Всё было хорошо",2024-05-22T09:08:49.000Z,2024-05-21,2024-05-22,1 ночей,Family,Superior Apartment,მადლობა თქვენ🙏🙏,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Mykhailo,Georgia,7,,"Понравилось: Не первый раз останавливаюсь в этой локации . Раньше было лучше

Не понравилось: Приехал с сестрой , почему то была только одна кровать с постельным . Мне пришлось спать на диване одетым . Было достаточно холодно. Я понимаю май , но помещение цокольное и можно было его прогреть немного. В прошлые разы , когда приезжал были небольшие вкусняшки к чаю , было тепло и застелено два отдельных спальных места и очень душевно . Почему всего этого не было в этот раз не знаю , но из списка предложений в Мцехете этот вариант был дороже раза в два , чем другие похожие . Выбирал опять же не из цены , а потому что было тут уютно и комфортно , как дома , но не в этот раз",2024-05-19T17:09:01.000Z,2024-05-18,2024-05-19,1 ночей,Family,Superior Apartment,"არ ველოდი ასეთ შეფასებას,თქვენ შეგეძლოთ გეთქვათ დამატებითი საწოლის გაშლა,ჩემთან მოვიდა ჯავშანი ორ ადამიანზე და შესაბამისად მითითებულია 2 საწოლიანი ტახტი.რაც შეეხევა სიცივეს,სითბოსთვის არის კონდიციონერი და შეგეძლოთ ჩაგერთოთ.მე მაინც წარმატებებს გისურვებთ.მადლობა ამ უარყოფითი კომენტარისთვის.",Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Olga,Russia,10,Прекрасно,"Понравилось: Лучшее местоположение нельзя придумать, просто идеально)
Чисто, комфотно, есть абсолютно все, что нужно, очень милая хозяйка.Однозначно рекомендуем",2023-09-28T16:08:52.000Z,2023-09-26,2023-09-28,2 ночей,Group,Superior Apartment,Спасибо за оценку.Самые лучшие дамы.Спасибо. ❤️❤️❤️🙏🙏,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,1,ru
Ekaterina,Austria,10,Отличное жилье в центре Мцхеты,"Понравилось: Расположение отличное, в самом центре Мцхеты, напротив собора Светицховели. Это часть двухэтажного дома, с отдельным входом и маленьким двориком, где можно посидеть. Жилье прекрасное, чисто, всё необходимое есть. Ночевали 1 ночь, ничем не успели воспользоваться, но впечатления остались самые приятные. Встречали с бутылочкой домашнего вина, это было очень приятно после долгой дороги. Чисто. Есть все ванные принадлежности вплоть до одноразовых тапочек. Рекомендую, цена соответствует месту, даже занижена, на мой взгляд

Не понравилось: Были сложности с заездом: приехали примерно с 21, в это время город будто вымер, вывески нет, хозяев не было, блудили кругами, было страшновато остаться без жилья ночью ещё и без связи, местных денег (только заехали в страну). Но потом прохожий позвал откуда-то хозяев и все разрешилось. Больше минусов не было, все понравилось",2023-09-22T15:37:42.000Z,2023-08-25,2023-08-26,1 ночей,Family,Superior Apartment,thank you ,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Nuflo,Spain,10,Situación inmejorables,"Понравилось: La situación inmejorable, es un apartamento entero, la propietaria es un encanto y te dejan una botellita de vino casero!! Las camas sonuy cómodas y tienes una cocina equipada para lo que necesites. Garmajoba!

Не понравилось: La verdad es que no hay nada que no me haya gustado!",2023-09-21T17:43:03.000Z,2023-09-20,2023-09-21,1 ночей,Couple,Superior Apartment,thank you very much 🙏🙏🙏🙏,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,1,es
Stepan,Russia,10,,"Понравилось: Отличные апартаменты, все есть. Очень чисто и уютно. Находятся прямо в центре рядом с достопримечательностями.",2023-09-04T09:01:42.000Z,2023-08-30,2023-09-03,4 ночей,Family,Superior Apartment,большое спасибо 🙏🙏🙏🥰🥰,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Alejandro,Spain,10,"Para repetir, espectacular todo","Понравилось: Es difícil destacar algo en concreto porque la experiencia en general fue maravillosa, empezando por la localización del alojamiento (justo en el centro) como por el propio piso en general que dispone hasta de lavadora y tendedero por si se quiere lavar ropa. El desayuno fue espectacular y estuvo preparado justo a la hora que nosotros quisimos

Не понравилось: Nada, todo perfecto",2023-09-04T07:51:20.000Z,2023-08-12,2023-08-13,1 ночей,Couple,Superior Apartment,Thank you very much 🙏🙏🥰🥰,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,2,es
Власова,Ukraine,10,,"Понравилось: Огромное спасибо за гостеприимство, уют и тёплую встречу) Нам очень понравилось, красивые, комфортные, просторные апартаменты) Есть все необходимое и даже больше)  Хочется здесь остаться! Обязательно приедем еще) Процветания Вам и всего наилучшего!",2023-08-23T14:37:21.000Z,2023-08-22,2023-08-23,1 ночей,Family,Superior Apartment,"Спасибо Вам большое за такой комментарий.Самая лучшая семья,порядочная,культурная и очень дружная.Ждём Вас. ",Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,1,ru
Evgeniya,Georgia,10,,"Понравилось: Расположение, уют, хозяйка, чистота. Всё отлично.

Не понравилось: Всё понравилось",2023-08-22T13:55:50.000Z,2023-08-15,2023-08-16,1 ночей,Family,Superior Apartment,Они были очень хорошими гостями. ,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Любовь,Russia,10,очень все понравилось.Отличный отель,Понравилось: Очень приятная хозяйка.Чистота и порядок.,2023-08-07T14:11:04.000Z,2023-08-04,2023-08-05,1 ночей,Family,Superior Apartment,Спасибо вам огромное вы самые лучшие люди ,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,2,ru
Alexei,Uzbekistan,10,,"Понравилось: Отличные апартаменты, все необходимое есть: посуда, плита, чай, кофе, сахар и т.д., за исключением микроволновки. Замечательная, отзывчивая хозяйка, угостила вином и арбузом в качестве комплимента, что очень приятно. Есть внутренний дворик со столом, где можно поесть. Спасибо, если ещё раз окажемся в Мцхете будем рады остановиться в этом доме.

Не понравилось: Минусов нет",2023-08-03T18:20:18.000Z,2023-08-01,2023-08-03,2 ночей,Family,Superior Apartment,Спасибо.Порядочные и спокойные гости.Всем желаю таких гостей ,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Natalya,Russia,5,"Все хорошо,  небыло горячей воды,и микроволновки.",Не понравилось: Отсутствие горячей воды,2023-07-27T19:46:53.000Z,2023-07-25,2023-07-26,1 ночей,Group,Superior Apartment,"Во всей Мцете отключили газ и не было горячей воды, из-за этого я не заслужил низкой оценки .დაუნახავები ხართ.",Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Нана,Armenia,9,,"Понравилось: Месторасположение отличное
Очень приветливый персонал, с чистотой дружат. Заехали ночью, нас дождались, встретили, разместили, в комнатах было холодно, быстро подключили отопление, комнаты быстро прогрелись. Утром увидела на столе домашнее вино, хотела купить, а подруга хозяйки (временно заменяла) взяла и подарила. Маленький частный домик с необходимыми условиями / удобствами  - заезжай и живи)))))

Не понравилось: Меня до этого уверяли, что с животными у них не проживали. А в отзывах после прочитала, что там пребывали другие посетители вместе с животными - это естественно, меня огорчило, тк, для нас из соображений безопасности из-за здоровья ребенка, принципиально пребывание там, где не допустимо пребывание животных.",2023-07-20T22:15:45.000Z,2023-05-27,2023-05-28,1 ночей,Family,Superior Apartment,I am very interested in where you can find better comfort for 108 GEL. 🤷‍♀️🤷‍♀️🤷‍♀️🤷‍♀️,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Mykhailo,Georgia,10,,Понравилось: Сууууперрр. Останавливаюсь уже третий раз. Все нравится . Рекомендую,2023-06-29T06:54:32.000Z,2023-06-27,2023-06-28,1 ночей,Family,Superior Apartment,thank you very much 🙏🙏🙏,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Junwon,Egypt,10,그냥 예약하세요.,"Понравилось: 가격 대비 최고였습니다. 조식 포함 3인 97.5 라리.
조식도 원하는 시간대에 매일 다른 메뉴. 웰컴 드링크까지 훌륭합니다.

Не понравилось: 낮에 좌판 때문에 숙소 대문 찾기가 조금 까다로운데, 사진에 나오는 벽 등 찾으면 됩니다.",2023-06-27T13:24:22.000Z,2023-06-24,2023-06-26,2 ночей,Family,Superior Apartment,Best guests. Thank you 🙏🙏🙏👍🏻👍🏻,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ko
Dongam,South Korea,10,,"Понравилось: 방, 샤워실, 주방이 깨끗하고 좋았음.

Не понравилось: 없음",2023-04-01T10:09:11.000Z,2023-03-29,2023-03-30,1 ночей,Family,Superior Apartment,thank you ,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ko
მიკხაილო,Georgia,10,,"Понравилось: საუკეთესო ადგილი საქართველოში, მყუდრო სახლი და შესანიშნავი მასპინძლებია.",2023-03-22T05:51:22.000Z,2023-03-20,2023-03-21,1 ночей,Family,Superior Apartment,დიდი მადლობა.თქვენ ხართ საუკეთესოები,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
მიკხაილო,Georgia,10,,"Понравилось: Встретили в 00.00 часов. У нас получилось позднее заселение,но такую теплоту можно встретить только в Грузии и не всегда.
Мцхета вообще имеет свою энергетику. Очень люблю это место. Спасибо ,что нас приняли у себя в гостях. 
Домик чистый и уютный. У стен Светицховели (да простят меня все,если неправильно написал ). В домике есть все.,от тапочек до зубной щётки. Ощущение уюта и родного дома. Все продумано до мелочей, тепло,кровати удобные. Идеально. Ещё раз спасибо, низкий поклон хозяевам, которые приняли нас.",2023-03-11T17:15:48.000Z,2023-03-10,2023-03-11,1 ночей,Family,Superior Apartment,"მადლობა თქვენ ასეთი შეფასებისთვის.🙏🙏ვისურვებ თქვნისთანა კარგ,ზრდილობიან და მოწესრიგებულ სტუმრებს.ასევე ვუსურვებ ქართულ ტურისტუს ბაზარს თქვენისთანა საუკეთესო სტუმრების ყოლას.წარმატებები თქვენ და კიდევ ერთხელ დიდი მადლობა თქვენ ლამაზ ოჯახს🙏🙏🙏🙏🙏🙏",Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
George,Russia,10,,"Понравилось: Понравилось радужное гостеприимство хозяев. Хозяева быстро встретили, просили писать, если что-то понадобится. Утром быстро приготовили завтрак, хотя я решил заказать завтрак только утром и заранее хозяйку не предупреждал. Само место находится в центре в двух минутах ходьбы от храма Светицховели. В самом жилье есть интернет и работают две батареи.

Рекомендую 👍",2023-02-05T15:34:57.000Z,2023-02-03,2023-02-04,1 ночей,Solo traveler,Superior Apartment,მადლობა თქვენ.ძალინ კარგი და ზრდილობიანი ადამიანი.ყველას ვუსურვებ ასეთ სტუმარს👍👍👍👍,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Anton,Israel,10,,"Понравилось: Это лучшее место в Мцхете, прямо в старом городе, посреди роскошных видов и церквей. Катались по реке, невероятно уютно и красиво вокруг. В жилье отлично спится и очень радушные хозяева, большое спасибо",2023-01-22T22:47:58.000Z,2023-01-19,2023-01-22,3 ночей,Couple,Superior Apartment,Самая лучшая и спокойная пара.Всем желаю таких гостей.Много плюсов от меня этим необыкновенным людям.,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Aleksei,Russia,10,,"Понравилось: Отличное расположение - в самом центре. Доброжелательная хозяйка. В аппартаментах есть все необходимое. Отдельный вход. Немного прохладно было при заезде, но комнаты быстро прогрелись.

Не понравилось: Сложно найти - проезд под шлагбаум, но звонок хозяйке быстро решает проблему.",2023-01-11T16:11:00.000Z,2022-12-31,2023-01-01,1 ночей,Group,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Alexandr,Russia,10,,"Понравилось: Прекрасное расположение вблизи достопримечательностей. Пришлось правда, поискать немного  ( навигатор как всегда искал кратчайший путь). Въезд на территорию через шлагбаум , который открывается дистанционно после звонка владельцу. Стоянку нашли без проблем. Аппартаменты полностью соответствуют фото, очень удобно и уютно. Спасибо большое владельцам за создание прекрасных домашних условий. Всё продумано до мелочей! Чай, кофе, вода, стиральный порошок - вообщем , все для комфортного проживания.  Ребята очень милые, готовые помочь при необходимости.  Очень надеюсь, что ещё не раз смогу побывать в доме этих замечательных и гостеприимных людей!",2022-10-31T17:29:59.000Z,2022-10-30,2022-10-31,1 ночей,Family,Superior Apartment,"მადლობა თქვენ.კარგი,თავაზიანი და თბილი ადამიანები ხართ.ყველას ვუსურვებ თქვენნაირ სტუმრებს.🙏🙏",Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,1,ru
Sergey,Russia,8,,"Понравилось: Месторасположение, цена/качество, персонал

Не понравилось: -",2022-09-26T11:26:40.000Z,2022-09-21,2022-09-22,1 ночей,Family,Superior Apartment,желаю чтоб всегда находили гостиницу по вашему вкусу,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Thor,Netherlands,9,Prima plek!,"Понравилось: Eenvoudige maar fijne en ruime overnachtingsplek. Heel centraal gelegen. De auto kan vlakbij worden geparkeerd.

Не понравилось: Het was wat lastig om te vinden in het donker, een klein bordje met Bereka op de poort zou fijn zijn.",2022-08-17T11:20:39.000Z,2022-07-23,2022-07-24,1 ночей,Couple,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,nl
Dmitry,Georgia,10,,"Понравилось: Самый центр мцхеты напротив Светицховели. 
Во дворе при нас поставили сезонный детский бассейн.

Квартира была укомплектована отлично - нам даже не пришлось просить ничего за время пребывания

Во дворе есть ласковая собака.

Не понравилось: Диван в зале неудобный для сна взрослого человека. (Но на этот случай есть ещё два спальных места)",2022-07-30T07:03:42.000Z,2022-07-27,2022-07-29,2 ночей,Family,Superior Apartment,"მადლობა თქვენ.სუფთა,სასიამოვნო და ზრდილობიანი სტუმრები იყავით🙏🙏ყველას ვუსურვებ თქვენისთანა ადამიანებს",Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Sergey,Georgia,10,,Понравилось: Хозяева очень гостепримные. Нас пустили с немецкой овчаркой и котом.,2022-07-28T05:28:53.000Z,2022-07-16,2022-07-17,1 ночей,Family,Superior Apartment,მადლობა🙏🙏,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,1,ru
Kristina,Russia,9,,"Понравилось: Очень доброжелательная хозяйка. Удобства как в отеле. Есть доступ в интернет, хотя в объявлении это не указано.",2022-07-06T17:02:30.000Z,2022-07-03,2022-07-05,2 ночей,Solo traveler,Superior Apartment,მადლობა.მოწესრიგებული და კარგი ადამიანი,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,1,ru
Mikalai,Belarus,10,"Большое спасибо за гостеприимство, внимание и заботу! Мы отлично отдохнули.","Понравилось: Очень комфортное место. Хозяйка заботливая и гостеприимная. Когда мы приехали, нас ждали фрукты, печенье и вино. Чистые и просторные апартаменты, красивый милый интерьер, выглядит даже лучше, чем на фото. Есть обустроенный дворик, где можно отдохнуть и выпить кофе. Кстати, хозяйка варит его очень вкусно!",2022-06-19T19:30:53.000Z,2022-06-05,2022-06-12,7 ночей,Solo traveler,Superior Apartment,საუკეთესო სტუმრები🙏🙏ყველას ვუსურვებ ასეთ ადამიანების სტუმრობას.,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,1,ru
Datashvili,Georgia,10,,,2025-02-17T08:55:19.000Z,2025-02-15,2025-02-17,2 ночей,Solo traveler,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,en
Gocha,Greece,10,,,2025-01-05T10:38:50.000Z,2024-12-12,2024-12-15,3 ночей,Family,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,en
Sawai,Thailand,10,,,2024-11-17T10:34:48.000Z,2024-11-13,2024-11-14,1 ночей,Couple,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,xu
Mariam,Georgia,10,,,2024-11-10T17:00:54.000Z,2024-11-09,2024-11-10,1 ночей,Group,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,en
Avinash,Kuwait,10,,,2024-08-14T05:27:54.000Z,2024-08-12,2024-08-13,1 ночей,Family,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,xu
Anna,United Kingdom,9,,,2024-07-31T17:07:38.000Z,2024-07-30,2024-07-31,1 ночей,Family,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,en
Toma,Georgia,10,,,2023-10-17T08:49:01.000Z,2023-10-14,2023-10-15,1 ночей,Couple,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,xu
Khatskevich,Armenia,10,,,2023-07-28T14:42:17.000Z,2023-07-26,2023-07-27,1 ночей,Family,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,xu
Iana,Russia,10,,,2025-03-08T11:53:01.000Z,2025-02-28,2025-03-01,1 ночей,Family,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Irakli,Georgia,10,,,2025-02-15T06:45:42.000Z,2025-02-14,2025-02-15,1 ночей,Couple,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Gevork,Georgia,10,,,2025-01-11T17:02:08.000Z,2024-12-30,2025-01-03,4 ночей,Group,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Markéta,Czech Republic,9,,,2024-09-25T17:08:38.000Z,2024-09-24,2024-09-25,1 ночей,Family,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,cs
Sergey,Russia,10,,,2024-09-17T11:22:42.000Z,2024-09-11,2024-09-12,1 ночей,Family,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Robert,Germany,10,,,2024-08-06T15:30:42.000Z,2024-08-01,2024-08-02,1 ночей,Family,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,de
Nicolas,France,10,,,2024-04-26T18:02:09.000Z,2024-04-25,2024-04-26,1 ночей,Family,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,fr
Rick,Netherlands,10,,,2023-09-26T17:58:52.000Z,2023-09-25,2023-09-26,1 ночей,Couple,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,nl
Matthias,Germany,10,,,2023-07-28T07:43:49.000Z,2023-07-11,2023-07-12,1 ночей,Couple,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,de
Bernd,Poland,10,,,2023-05-08T05:04:09.000Z,2023-05-06,2023-05-07,1 ночей,Family,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,de
